filename, language, Properties, YAML, HTML, Makefile, Markdown, pip requirements, Python, Ini, JSON, Shell Script, JavaScript React, TypeScript, CSS, JavaScript, comment, blank, total
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\permissions\routes_permissions.py, Python, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 13, 44
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\RacksAPI.md, Markdown, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 129
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\diagram_manager.py, Python, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 4, 13, 80
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\rack_manager.py, Python, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 10, 34, 183
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\racks\racks_routes.py, Python, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 13, 41, 247
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\RacksAPI.md, Markdown, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 103
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\StatsAPI.md, Markdown, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\routes_stats.py, Python, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 18, 63
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\stats\stats_manager.py, Python, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 26, 128
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\UsersAPI.md, Markdown, 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 245
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\authentication.py, Python, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 47, 22, 156
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\routes_users.py, Python, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 35, 40, 200
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\token_blacklist.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 1, 264
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\users_manager.py, Python, 0, 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 54, 74, 369
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\users\validator.py, Python, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 53, 46, 227
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\application.py, Python, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 15, 23, 111
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\models\modely.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\create_db.py, Python, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 10, 56
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\create_db_local.py, Python, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 3, 9, 56
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\model_setup.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\setup_db.sh, Shell Script, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\setup_db_local.sh, Shell Script, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 2, 6
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\scripts\user_setup.py, Python, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 5, 32, 118
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\settings.py, Python, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\css\main.e5ee5f62.chunk.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\js\2.c3336a9e.chunk.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 4
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\js\main.6038b271.chunk.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\static\js\runtime-main.b7b6d3d5.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\templates\index.html, HTML, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\README.md, Markdown, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 69
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\package.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 106
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\public\index.html, HTML, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 47
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\public\manifest.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\index.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\Constants.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 11, 52
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\JSONKeys.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 2, 9
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\Login.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 15, 23, 251
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\PageSelector.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 1, 25, 123
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\ShibLogin.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 7, 84
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\reactfrontend\src\javascript\Tabs.jsx, JavaScript React, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 4, 29, 257
